crop_name,year_start,india_cost_unweighted,india_cost_wavg_sample
Potato,2004,41357.964,46718.584351851845
Potato,2005,49177.82499999999,53774.67524038461
Potato,2006,54533.13428571429,57142.280528735646
Potato,2007,58174.44571428571,61868.47618932038
Potato,2008,55013.66,58429.32434782609
Potato,2009,69355.18,78003.33749262537
Potato,2010,72947.6475,76397.00920886076
Potato,2011,68786.4625,80045.04455149501
Potato,2012,79888.845,93007.2015410959
Potato,2013,91880.95749999999,109483.18689655174
Potato,2014,119405.06400000001,130648.67999999998
Potato,2015,116635.78,125803.08914141414
Potato,2016,101825.328,108989.07725373133
Potato,2017,117024.0711111111,122406.72339712919
Potato,2018,127876.39333333331,125342.49
Potato,2019,140860.49444444446,154250.78839050132
Potato,2020,155216.94285714286,175970.2716055046
Potato,2021,159887.76285714284,183398.61887530563
Ragi,1997,13578.445,12221.904594594595
Ragi,1998,10898.496666666666,10798.428608695653
Ragi,1999,14558.04,14151.475357142856
Ragi,2000,15379.980000000001,13929.496451612906
Ragi,2001,16298.095000000001,13626.158157894737
Ragi,2002,13593.38,10196.688795180722
Ragi,2003,13002.230000000001,11839.763428571428
Ragi,2004,12724.835,12237.23941860465
Ragi,2005,16910.443333333333,16380.47757142857
Ragi,2006,16983.26,17112.32326530612
Ragi,2007,19927.4575,18519.798275862067
Ragi,2008,23716.27666666667,23640.52527777778
Ragi,2009,33314.135,28741.471578947374
Ragi,2010,32845.5725,30673.58152777778
Ragi,2011,32535.685999999998,33721.930869565214
Ragi,2012,37586.61,36725.47539473684
Ragi,2013,40400.871999999996,38305.05618421052
Ragi,2014,37072.24,51730.7025
Ragi,2015,43490.15,55948.64142857143
Ragi,2016,39090.14,43402.053478260874
